"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-09-13,2019-09-17,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-10,2019-04-06,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-12,2019-02-18,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-16,2019-06-24,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-02-28,2019-03-01,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-04,2019-11-02,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-24,2019-03-26,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-01,2019-01-04,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-26,2019-10-29,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-06-11,2020-06-19,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-12,2019-02-15,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-05-26,2020-05-29,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-04,2019-10-08,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-23,2019-02-26,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-01,2019-03-06,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-09,2019-08-08,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-01,2019-04-10,"White","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-04-10,2019-04-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-01-16,2020-01-22,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-03,2019-08-06,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-25,2019-06-14,"White","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-06-22,2019-07-19,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
